id,question,expectedAnswer,wrongAnswer1,wrongAnswer2,wrongAnswer3
1,Hợp chất Alx(NO3)3 có phân tử khối 213. Giá trị của x là,1,2,3,4
2,"Biết hidroxit có hóa trị I, công thức hòa học nào đây là sai",CuOH,NaOH,KOH,Fe(OH)3
3,Bari có hóa tri II. Chọn công thức sai,BaCl,BaSO4,BaO,Ba(OH)2
4,Nguyên tử Fe có hóa trị II trong công thức nào,FeO,Fe2O3,Fe,FeCl3
5,"Khi phân tích hợp chất (X) chứa 27,273% cacbon và còn lại là oxi. Hóa trị của cacbon trong hợp chất trên là bao nhiêu?",IV,I,II,III
6,Cho hợp chất (A) có dạng Alx(SO4)y và phân tử khối bằng 342 đvC. Biết nhôm có hóa trị III. Hóa trị của nhóm SO4 là:,II,I,III,IV
7,Lập công thức hóa học biết hóa trị của X là I và số p = e là 13 và Y có nguyên tử khối là 35.5,NaCl,BaCl2,NaO,MgCl
8,Phát biểu nào sau đây không đúng?,Mỗi nguyên tố chỉ có một hóa trị,Trong các hợp chất hiđrô thường có hóa trị I và oxi thường có hóa trị II,Mỗi nguyên tố có thể có nhiều hóa trị,Hóa trị của nguyên tố là con số biểu thị khả năng liên kết của nguyên tử đó với nguyên tử của nguyên tố khác
9,"Một hợp chất (Q) có thành phần khối lượng là: 34,5% Fe và 65,5% Cl. Hóa trị của sắt trong hợp chất (Q) là:",III,I,II,IV
10,Lập công thức hóa học của Ca(II) với OH(I),Ca(OH)2,CaOH,Ca2(OH),Ca3OH
11,"Trong P2O5 , P hóa trị mấy",V,I,II,IV
12,Chọn câu sai,Photpho chỉ có hóa trị IV,Hóa tri là con số biểu thị khả năng liên kết của nguyên tử nguyên tố này với nguyên tử nguyên tố kia,Hoá trị của một nguyên tố được xác định theo hóa trị của H chọn làm đơn vị và hóa trị của oxi là 2 đơn vị,Quy tắc hóa trị : x.a=y.b
13,Hóa trị của sắt trong hợp chất Fe3O4 là:,I,II,III,VIII
14,Hóa trị của luu huỳnh trong hợp chất nào sau đây lớn nhất?,SO3,H2S,SO2,Al2S3
15,Cho hợp chất của X là XO và Y là Na2Y. Công thức của XY là,XY,X2Y,X3Y,Tất cả đáp án.
16,Ta có một oxit tên CrO. Vậy muối của Crom có hóa trị tương ứng là,CrSO4,Cr(OH)3,Cr2O3,Cr2(OH)3
17,Cho công thức hóa học của hợp chất (X) có dạng Fe2(SO4)3 phân tử khối của hợp chất (X) bằng 400 đvC. Hóa trị của sắt trong hợp chất này là:,III,I,II,IV
18,Tính hóa trị của C trong CO biết Oxi hóa trị là II,II,I,III,Không xác định.
19,Cho hợp chất oxit của nitơ có dạng NaOb. Hóa trị của nitơ trong hợp chất oxit trên là :,2b/a,a,b,b/a
20,"Một hợp chất (X) có tỉ lệ về khối lượng các nguyên tố là mMg : mC : mO = 2 : 1 : 4, biết Mx = 84 đvC. Hóa trị của Mg trong hợp chất (X) là:",II,III,IV,V
21,Cho công thức sau CH3COONa. Tính %mNa,"%mNa=28,049%","%mNa=29,27%","%mNa=3,66%",%mNa=39%
22,Các công thức hóa học nào là đúng,"Na, BaO, CuSO4","KCl, AlO, S","BaSO4, CO, BaOH","SO4, Cu, Mg"
23,Cho biết hóa trị của P trong P2O3,III,V,IV,II
24,Chọn câu đúng,Quy tắc hóa trị x.a=y.b,Hóa trị của C ở CO là IV,CTHH có 2 ý nghĩa,Tất cả đáp án
25,Viết 3Cl2 nghĩa là gì,3 phân tử clo,3 nguyên tử clo,Clo có hóa trị III,Tất cả đáp án
26,"Một hợp chất Y có phân tử khối là 58 đvC cấu tạo từ 2 nguyên tố C và H trong đó C chiếm 82,76% khối lượng của hợp chất. Công thức phân tử của Y là:",C4H10,CH4,C2H4,C4H8
27,Dãy nguyên tố nào sau đây được sếp theo thứ tự tăng dần về sự phổ biến trong vỏ Trái Đất,"Ca, Fe, Al, Si, O","Fe, Al, Ca, Si, O","Ca, Al, Fe, O, Si","Si, O, Fe, Al, Ca"
28,"Lập công thức hóa học biêt trong đó có 1 nguyên tử O, 3 nguyên tử C, 8 nguyên tử H",C3H8O,CHO,C3HO,HOC
29,Nguyên tử P có hóa trị 5 trong phân tử chất nào sau đây?,P2O5,P2O3,P4O4,P4O10
30,Một oxit của crom là Cr2O3. Muối chứa crom có hóa trị tương ứng là:,Cr2(SO4)3,Cr2(SO4)2,Cr3(SO4)2,CrSO4